word,glor.txt,lstb.txt,empt.txt,mems.txt,retn.txt,norw.txt,blac.txt,3gar.txt,spec.txt,danc.txt,blue.txt,bosc.txt,reti.txt,gree.txt,cano.txt,sign.txt,3gab.txt,shos.txt,bery.txt,soli.txt,cree.txt,resi.txt,reig.txt,prio.txt,card.txt,bruc.txt,nobl.txt,redc.txt,seco.txt,vall.txt,stoc.txt,iden.txt,lion.txt,copp.txt,nava.txt,sixn.txt,case.txt,3stu.txt,chas.txt,redh.txt,miss.txt,advs.txt,abbe.txt,twis.txt,wist.txt,cnus.txt,engr.txt,suss.txt,stud.txt,silv.txt,gold.txt,scan.txt,maza.txt,dyin.txt,lady.txt,devi.txt,croo.txt,houn.txt,musg.txt,illu.txt,five.txt,yell.txt,blan.txt,fina.txt,last.txt,thor.txt,veil.txt
troubles,0,1,0,1,2,0,0,0,0,0,0,0,0,0,14,1,0,0,1,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,13,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
stupidity,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
councillor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
attraction,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hubbub,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
wharfingers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suspicion,1,10,1,9,10,1,0,1,1,2,1,0,2,0,54,3,0,0,1,0,0,1,2,0,3,1,0,0,1,4,0,1,1,1,1,1,5,2,0,0,1,8,1,1,2,49,0,0,3,2,0,1,0,1,1,2,1,2,0,1,1,1,0,0,0,0,0
stroll,0,2,0,2,2,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
tors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
antipathy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
decreased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
troubled,0,1,0,3,2,0,0,0,1,0,1,0,0,1,21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,2,0,0,0,4,1,0,0,0,3,1,0,0,17,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0
style,3,2,0,4,0,0,0,0,0,0,0,0,0,0,15,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,14,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
relapsed,0,2,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
limbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
instantly,1,3,0,11,6,1,0,0,4,0,1,3,0,1,59,10,0,0,0,0,1,0,3,2,1,0,2,0,1,2,1,0,0,0,1,1,3,0,0,1,0,17,1,4,1,56,0,0,1,0,0,0,0,0,0,0,0,6,1,0,2,2,1,1,1,1,0
apron,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
dodged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thereby,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
civilian,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
matches,0,4,0,1,1,1,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
smarter,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
blackish,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bashful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
refused,1,6,0,2,5,1,1,1,2,0,1,0,1,0,36,1,0,0,1,0,1,0,0,1,0,0,2,1,1,4,0,0,0,0,0,1,5,0,0,0,0,7,0,0,1,31,0,1,0,0,0,1,1,0,2,1,0,6,0,0,0,0,0,1,0,0,0
nation,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
records,0,1,0,3,3,0,0,1,0,0,0,0,0,0,22,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,5,0,1,0,0,7,0,0,0,17,0,0,0,0,0,0,0,0,0,1,0,2,2,0,5,0,1,1,0,2,0
overpowering,0,1,0,0,1,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
compelled,1,3,0,7,5,0,0,0,0,0,1,0,0,0,33,1,0,1,0,1,0,3,0,0,2,0,1,0,1,1,0,1,0,0,0,0,6,1,0,0,0,6,0,0,0,27,1,1,1,0,2,2,0,0,0,1,0,3,0,1,0,0,1,3,0,2,0
superficial,0,3,0,3,1,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1
subscribers,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
workmanlike,0,0,0,0,2,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
arriving,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
reckoning,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
twilight,0,0,0,1,2,0,0,1,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
handiwork,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
matched,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
unfruitful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
